product_clean,meddra_pt,first_signal_yq,first_signal_idx,max_cusum
CENTRUM SILVER WOMEN'S 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,Choking,2012-Q2,42,14.0359277621273
CENTRUM SILVER WOMEN'S 50+,Choking,2012-Q3,43,13.2753995438453
CENTRUM SILVER WOMEN'S 50+,Dysphagia,2012-Q3,43,7.29235828053513
CENTRUM SILVER WOMEN'S 50+,Foreign Body,2019-Q4,72,18.9761437695544
CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS MULTIVITAMINS) TABLET,Choking,2012-Q4,44,12.8
CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS MULTIVITAMINS) TABLET,Dysphagia,2012-Q4,44,7.86842105263158
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2013-Q1,45,19.1831704377491
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Coeliac Disease,2016-Q2,58,10.3157894736842
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2013-Q2,46,18.5943566977708
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Fear,2013-Q4,48,7.76315789473684
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Foreign Body Trauma,2013-Q1,45,19.6207532155175
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Oropharyngeal Pain,2013-Q3,47,14.4473684210526
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Retching,2013-Q2,46,18.1481706525936
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Throat Irritation,2013-Q2,46,17.1702252140072
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,Choking,2012-Q4,44,15.7583684959019
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,Dysphagia,2012-Q4,44,14.9520093960734
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,Foreign Body Trauma,2012-Q4,44,15.3249407861234
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,Retching,2013-Q1,45,7.45263157894737
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,Throat Irritation,2013-Q1,45,11.3263157894737
"CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",Choking,2013-Q1,45,14.9739826591198
"CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",Dysphagia,2013-Q2,46,15.9341178739965
"CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",Foreign Body Trauma,2013-Q2,46,7.76842105263158
"CENTRUM SILVER WOMEN'S 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2013-Q2,46,12.6684210526316
"CENTRUM SILVER WOMEN'S 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2016-Q2,58,6.65263157894737
CENTRUM SILVER WOMENS 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,Choking,2012-Q1,41,7.21578947368421
"CENTRUM SILVER WOMENS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2014-Q1,49,15.9760220209326
"CENTRUM SILVER WOMENS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2014-Q1,49,15.5168861171398
"CENTRUM SILVER WOMENS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Foreign Body Trauma,2014-Q3,51,6.62105263157895
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN,Choking,2014-Q1,49,14.619652447239
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN,Dysphagia,2014-Q1,49,14.9374115159277
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN,Foreign Body Trauma,2014-Q3,51,7.21578947368421
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN,Retching,2014-Q1,49,7.81052631578947
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN,Throat Irritation,2014-Q3,51,6.24736842105263
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN TABLET,Choking,2014-Q3,51,7.21578947368421
"CENTRUM ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2012-Q2,42,12.5939463953021
"CENTRUM ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2012-Q3,43,8.42105263157895
CENTRUM ULTRA WOMEN'S MULTIMINERALS MULTIVITAMINS TABLET,Choking,2012-Q3,43,6.97368421052632
CENTRUM ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Choking,2011-Q4,40,12.441438461845
CENTRUM ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Dysphagia,2011-Q4,40,9.15263157894737
"CENTRUM WOMEN UNDER 50 (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2013-Q2,46,14.0631578947368
"CENTRUM WOMEN UNDER 50 (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2014-Q1,49,6.5421052631579
CITRACAL,Choking,2017-Q3,63,16.7368421052632
CITRACAL,Dysphagia,2018-Q2,66,5.97368421052632
CITRACAL MAXIMUM,Choking,2020-Q3,75,22.1230369572267
CITRACAL MAXIMUM,Foreign Body,2020-Q4,76,18.97875168692
CITRACAL MAXIMUM,Foreign Body In Throat,2023-Q3,87,21.9962862488442
CITRACAL MAXIMUM,Retching,2022-Q1,81,5.17368421052632
CITRACAL MAXIMUM,Throat Irritation,2021-Q3,79,5.87894736842105
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Choking,2013-Q4,48,19.1644083176091
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Dysphagia,2016-Q2,58,12.3157894736842
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Foreign Body,2016-Q1,57,8.81578947368421
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Foreign Body Trauma,2014-Q3,51,5.68947368421053
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Throat Irritation,2016-Q4,60,5.90526315789474
CITRACAL MAXIMUM (CHOLECALCIFEROL +CALCIUM CITRATE) FILM-COATED TABLET,Choking,2016-Q4,60,10.7947368421053
CITRACAL MAXIMUM BAYER,Choking,2021-Q1,77,11.1315789473684
CITRACAL MAXIMUM BAYER,Foreign Body,2021-Q1,77,8.45263157894737
CITRACAL MAXIMUM CHOLECALCIFEROL + CALCIUM CITRATE FILM-COATED TABLET,Choking,2015-Q2,54,7.81578947368421
CITRACAL MAXIMUM CHOLECALCIFEROL CALCIUM CITRATE FILM COATED TABLET,Choking,2011-Q4,40,6.60526315789474
CITRACAL MAXIMUM CHOLECALCIFEROL PLUS CALCIUM CITRATE FILM COATED TABLET,Choking,2012-Q2,42,5.66315789473684
CITRACAL MAXIMUM FILM-COATED TABLET,Choking,2016-Q1,57,5.81052631578947
CITRACAL MAXIMUM PLUS,Choking,2025-Q1,93,9.07894736842105
CITRACAL PETITES,Choking,2017-Q3,63,18.3941479722377
CITRACAL PETITES,Dysphagia,2017-Q2,62,17.8390028572886
CITRACAL PETITES,Foreign Body,2018-Q3,67,20.2350398737242
CITRACAL PETITES,Foreign Body In Throat,2024-Q1,89,12.4894736842105
CITRACAL PETITES (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Choking,2014-Q2,50,20.9595395222748
CITRACAL PETITES (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Dysphagia,2016-Q1,57,14.9789473684211
CITRACAL PETITES (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Foreign Body Trauma,2013-Q3,47,10.3210526315789
CITRACAL PETITES (CHOLECALCIFEROL +CALCIUM CITRATE) FILM-COATED TABLET,Choking,2017-Q1,61,12.3421052631579
CITRACAL PETITES (CHOLECALCIFEROL +CALCIUM CITRATE) FILM-COATED TABLET,Dysphagia,2017-Q1,61,6.97368421052632
CITRACAL PETITES CHOLECALCIFEROL + CALCIUM CITRATE FILM-COATED TABLET,Choking,2015-Q1,53,8.45263157894737
CITRACAL PETITES CHOLECALCIFEROL PLUS CALCIUM CITRATE FILM COATED TABLET,Choking,2012-Q1,41,6.83157894736842
CITRACAL SLOW RELEASE 1200,Choking,2023-Q3,87,16.6631578947368
CITRACAL SLOW RELEASE 1200,Foreign Body,2020-Q4,76,7.76315789473684
CITRACAL SLOW RELEASE 1200,Foreign Body In Throat,2025-Q1,93,5.73684210526316
CITRICAL MAXIMUM,Choking,2020-Q1,73,6.21578947368421
"EMERGEN-C (ASCORBIC ACID, B-COMPLEX, ELECTROLYTE, MULTIMINERALS, MULTIVIT, ZINC) POWDER FOR ORAL SOLUTION",Choking,2012-Q4,44,5.43684210526316
"EMERGEN-C (ASCORBIC ACID, B-COMPLEX, ELECTROLYTE, MULTIMINERALS, MULTIVIT, ZINC) POWDER FOR ORAL SOLUTION",Cough,2012-Q4,44,5.43684210526316
EU NATURAL CONCEPTION FOR HER FERTILITY AID AND MULTI,Abortion Spontaneous,2025-Q1,93,11.3210526315789
EXEMPTION 4,Diabetes Mellitus,2005-Q2,14,6.57894736842105
