product_clean,base_name,n_signals,total_cases
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",CALTRATE 600,9,80
CALTRATE 600 + VITAMIN D,CALTRATE 600,4,48
"CALTRATE 600 + D PLUS MINERAL (CALCIUM CARBONATE, MULTIMINERAL, VITAMIN D) TABLET",CALTRATE 600,3,14
CALTRATE 600 + VITAMIN D CALCIUM CARBONATE CHOLECALCIFEROL TABLET,CALTRATE 600,3,11
CALTRATE 600 + D CALCIUM CARBONATE CHOLECALCIFEROL TABLET,CALTRATE 600,2,8
CALTRATE 600 + D PLUS MINERAL,CALTRATE 600,2,10
"CALTRATE 600 PLUS CHEWABLE (CALCIUM CARBONATE, VITAMIN D, ZINC) CHEWABLE TABLET",CALTRATE 600,2,10
CALTRATE 600 PLUS CHEWABLE CALCIUM CARBONATE VITAMIN D ZINC CHEWABLE TABLET,CALTRATE 600,2,7
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL)",CALTRATE 600,1,3
CALTRATE 600 PLUS CHEWABLE,CALTRATE 600,1,3
CALTRATE 600 PLUS VITAMIN D CALCIUM CARBONATE CHOLECALCIFEROL TABLET,CALTRATE 600,1,3
CALTRATE PLUS CALCIUM CARBONATE VITAMIN D ZINC TABLET,CALTRATE PLUS,2,7
"CALTRATE PLUS (CALCIUM CARBONATE, VITAMIN D, ZINC) TABLET",CALTRATE PLUS,1,3
CATALYST,CATALYST,3,11
CATALYST - NONSPECIFIC,CATALYST,1,3
CENTRUM ADULTS UNDER 50,CENTRUM ADULTS,2,9
CENTRUM ADULTS,CENTRUM ADULTS,1,3
CENTRUM MULTIGUMMIES ADULTS 50+,CENTRUM MULTIGUMMIES,2,6
CENTRUM MULTIGUMMIES ADULT,CENTRUM MULTIGUMMIES,1,3
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM MULTIMINERALS,5,50
CENTRUM MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM MULTIMINERALS,3,19
"CENTRUM (MULTIMINERALS, MULTIVITAMINS)",CENTRUM MULTIMINERALS,2,9
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) UNKNOWN",CENTRUM MULTIMINERALS,2,14
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",CENTRUM MULTIMINERALS,1,3
"CENTRUM MULTIMINERALS, MULTIVITAMINS",CENTRUM MULTIMINERALS,1,4
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,16,1079
CENTRUM SILVER WOMEN'S 50+,CENTRUM SILVER,11,219
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,9,207
CENTRUM SILVER MEN'S 50+,CENTRUM SILVER,9,102
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,9,215
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,9,228
