product_clean,meddra_pt,in_era1,in_era2,a,prr,n_methods
SUPER BETA VIRILITY BOOST,Urinary Retention,FALSE,TRUE,11,12.4506476296328,4
AGELESS MALE MAX,Cardiac Disorder,FALSE,TRUE,10,18.9752574370709,4
ARBONNE ESSENTIALS DIGESTION PLUS,Pharyngeal Oedema,FALSE,TRUE,10,19.9639368895567,4
ARBONNE ESSENTIALS ENERGY FIZZ STICKS - POMEGRANATE,Hypersensitivity,FALSE,TRUE,10,8.82782424001062,4
BURN,Diarrhoea,FALSE,TRUE,10,6.10384544787078,4
CALTRATE 600 + VITAMIN D,Foreign Body,FALSE,TRUE,10,5.54468662008552,4
CENTRUM SILVER ADULTS 50+,Foreign Body,FALSE,TRUE,10,2.67425807426815,3
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Coeliac Disease,FALSE,TRUE,10,25.4899702466648,4
CITRACAL,Dysphagia,FALSE,TRUE,10,6.07753001715266,4
CITRACAL PETITES (CHOLECALCIFEROL +CALCIUM CITRATE) FILM-COATED TABLET,Dysphagia,FALSE,TRUE,10,18.9732620320856,4
CITRACAL PETITES BAYER,Choking,FALSE,TRUE,10,6.70640120967742,4
EXTENZE PLUS,Nausea,FALSE,TRUE,10,5.14127241805813,4
KRATOM,Irritability,FALSE,TRUE,10,10.9279166666667,4
KRATOM,Psychotic Disorder,FALSE,TRUE,10,14.2538043478261,4
MODERE ACTIVATE,Nausea,FALSE,TRUE,10,3.97929259680412,4
MODERE ACTIVATE,Vomiting,FALSE,TRUE,10,4.41551973170853,4
MODERE BURN,Dehydration,FALSE,TRUE,10,7.43587589605735,4
NATUREMADE VITAMIN B6,Neuropathy Peripheral,FALSE,TRUE,10,150.378531073446,4
ONE A DAY MEN'S 50+ HEALTHY ADVANTAGE,Choking,FALSE,TRUE,10,5.36431451612903,4
PRESERVISION AREDS 2,Eye Pain,FALSE,TRUE,10,10.6786600496278,4
PRESERVISION AREDS 2,Neovascular Age-Related Macular Degeneration,FALSE,TRUE,10,8.89888337468983,4
PREVAGEN EXTRA STRENGTH,Dizziness,FALSE,TRUE,10,3.13266364836823,3
