product_clean,meddra_pt,crude_ror,adjusted_or,adj_or_lower,adj_or_upper,adj_p_value,adj_significant,or_ratio,direction_change,magnitude_change
SUPER BETA PROSTATE,Urinary Retention,23.3598950003413,11.2301466042575,7.20578531502986,17.3686086127069,3.0912450757683e-27,TRUE,0.480744738111768,Consistent direction,Substantial (>50% change)
CITRACAL MAXIMUM,Foreign Body In Throat,27.8093921493776,21.4359229865102,14.0027294064839,32.1096965664577,9.11825877264942e-48,TRUE,0.770815948488465,Consistent direction,Moderate (20-50% change)
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,9.82541262337232,3.89315884209137,2.31949553977683,6.49685213400207,2.04182577689747e-07,TRUE,0.396233623087795,Consistent direction,Substantial (>50% change)
"ONE A DAY MEN'S HEALTH FORMULA (MULTIVITAMINS, MINERALS, LYCOPENE) FILM-COATED TABLET",Choking,17.248893228861,121.320590395043,62.8113121118275,248.933403788578,5.35340821763082e-43,TRUE,7.03352897982161,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,7.13893086127333,4.29153558468991,2.73919460779544,6.56635337401546,5.54403417908621e-11,TRUE,0.601145419122949,Consistent direction,Substantial (>50% change)
SUPER BETA PROSTATE P3 ADVANCED,Blood Urine Present,30.1854470062858,8.65813832699583,5.22291575285813,13.8406360340813,2.77278141845624e-18,TRUE,0.286831542537464,Consistent direction,Substantial (>50% change)
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,Dysphagia,14.397571884984,7.98677427413604,5.02358739829423,12.6333822593584,7.55807364058999e-19,TRUE,0.554730640550986,Consistent direction,Substantial (>50% change)
PRESERVISION AREDS 2,Foreign Body,2.68683512516077,1.79651301154678,1.311936004559,2.40623081273234,0.000148135471276294,TRUE,0.668635375026701,Consistent direction,Moderate (20-50% change)
"CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",Choking,14.0210723614383,7.91497331711493,4.11129279249717,16.2434647033469,2.53396971723657e-09,TRUE,0.564505560850198,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER WOMENS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,20.8465253362993,9.42799590194032,4.94659587757309,19.2629066842162,6.63019168872127e-11,TRUE,0.452257426590113,Consistent direction,Substantial (>50% change)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Anxiety,8.67470187829469,2.26609477954927,1.35420892385729,3.57803346176382,0.000904062554952332,TRUE,0.261230277575228,Consistent direction,Substantial (>50% change)
ONE A DAY WOMEN'S (MULTIVITAMINS + MINERALS) FILM-COATED TABLET,Choking,10.9675349840603,14.4388884870875,7.67554873947507,28.2481309759171,7.52101419506877e-16,TRUE,1.31651173286178,Consistent direction,Moderate (20-50% change)
CITRACAL PETITES,Foreign Body,9.78202661607072,5.2520272332123,3.43251636575356,7.81580187938307,2.20991591051055e-15,TRUE,0.536905841636521,Consistent direction,Substantial (>50% change)
PRESERVISION AREDS 2 FORMULA SOFT GELS,Death,5.25906166818752,2.09511937196773,0.986251238074549,3.89642666859888,0.0327556739921939,FALSE,0.398382735201847,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,9.07844141582584,6.21036499528871,3.89811904300588,9.78109830972679,5.55826695030859e-15,TRUE,0.684078324773082,Consistent direction,Moderate (20-50% change)
PRESERVISION AREDS 2,Condition Aggravated,11.7280540208717,7.58874029485016,5.13215049224105,10.9464467825303,7.09359212515048e-26,TRUE,0.647058777299708,Consistent direction,Substantial (>50% change)
HYDROXYCUT HARDCORE CAPSULES,Liver Function Test Abnormal,62.5913513513514,40.4400316636812,25.8777646539898,63.0183867266992,4.75043753749085e-60,TRUE,0.646096158503983,Consistent direction,Substantial (>50% change)
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN,Dysphagia,30.3338050425718,22.8872004789934,11.9997163818637,45.8209838469351,2.77380510633396e-20,TRUE,0.754511359418063,Consistent direction,Moderate (20-50% change)
PRESERVISION AREDS 2,Death,2.46174583991819,0.930700353747545,0.459607777227369,1.66810197738278,0.825314101161485,FALSE,0.378065167677292,Signal lost after adjustment,Substantial (>50% change)
ONE A DAY WOMEN'S 50+ HEALTHY ADVANTAGE (MULTIVITAMINS + MINERALS) FILM-COATED TABLET,Choking,20.348656526392,10.8721100898796,5.61045365566672,22.4289499964707,1.0546216712675e-11,TRUE,0.53429129710743,Consistent direction,Substantial (>50% change)
PRESERVISION AREDS 2,Visual Impairment,11.1127774130007,9.51086511130392,6.34598637691734,13.9237445799063,1.82396801640423e-29,TRUE,0.855849510688235,Consistent direction,Minimal (<20% change)
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,13.1513255484547,7.42248169275171,4.37893904370344,12.3708579509814,2.90092011760663e-14,TRUE,0.564390385243247,Consistent direction,Substantial (>50% change)
SUPER BETA PROSTATE,Cerebrovascular Accident,2.96170654408519,0.928082220787826,0.485985791705248,1.60740396254967,0.805107293518763,FALSE,0.313360627386023,Signal lost after adjustment,Substantial (>50% change)
PRESERVISION AREDS 2 FORMULA SOFT GELS,Macular Degeneration,20.5118506806718,10.911387025095,6.72685029347928,16.9622053195004,2.58763086388294e-24,TRUE,0.531955267955256,Consistent direction,Substantial (>50% change)
HYDROXYCUT HARDCORE CAPSULES,Emotional Distress,104.654988625284,46.1002523795708,25.7898639701509,79.6697227989535,8.61058807558925e-41,TRUE,0.440497419044516,Consistent direction,Substantial (>50% change)
CENTRUM SILVER ULTRA WOMEN'S MULTIMINERALS MULTIVITAMINS TABLET,Choking,38.1336802973978,31.9046591457062,10.1992782382944,141.713139931226,1.0145911978638e-07,TRUE,0.836653029471256,Consistent direction,Minimal (<20% change)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Renal Failure,21.5140452921063,21.3117856979322,13.5610454802835,32.6318870993908,1.01225149551609e-42,TRUE,0.990598718584632,Consistent direction,Minimal (<20% change)
ALL DAY ENERGY GREENS,Abdominal Pain Upper,6.2847022924187,12.98750946061,7.03688419311443,23.0835121162499,1.61331571254938e-17,TRUE,2.06652739562174,Consistent direction,Substantial (>50% change)
CENTRUM SILVER ULTRA WOMEN'S,Choking,29.3559663178761,13.8211410024228,6.12055842885977,35.6679600222085,3.16362572031767e-09,TRUE,0.470811992790935,Consistent direction,Substantial (>50% change)
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Dysphagia,9.27391695779513,5.14637002232894,3.12646425229874,8.28727499849825,3.64027407026422e-11,TRUE,0.554929491578334,Consistent direction,Substantial (>50% change)
CENTRUM SILVER WOMEN'S 50+,Foreign Body,7.36399567500224,4.8161815239931,3.05973560033357,7.33587552033755,1.4939809464498e-12,TRUE,0.654017429741583,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER WOMENS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,23.140517543389,9.31620350332527,5.13896467433644,16.9495864571605,1.56934838146178e-13,TRUE,0.402592702857971,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Retching,5.21381112355356,3.22269075298396,2.07790049828152,4.7944454468667,3.62075076701101e-08,TRUE,0.618106539844789,Consistent direction,Substantial (>50% change)
CENTRUM SILVER MEN'S 50+,Choking,2.70901215042904,3.84810465762996,2.15747648341869,6.58062400376958,1.87480196727209e-06,TRUE,1.42048261283011,Consistent direction,Moderate (20-50% change)
HYDROXYCUT HARDCORE CAPSULES,Injury,102.693121693122,60.7992933873882,33.5311724287298,106.920633337498,3.34354938729469e-44,TRUE,0.59204835129148,Consistent direction,Substantial (>50% change)
KRATOM,Accidental Death,3294.93197278912,1757.95738491786,339.226757800157,32823.1156191817,1.849091581013e-12,TRUE,0.533533741951512,Consistent direction,Substantial (>50% change)
PRESERVISION AREDS 2,Age-Related Macular Degeneration,34.0797993529654,18.0974876103595,9.58904196465096,33.2771497421993,3.84832259682599e-20,TRUE,0.531032692502772,Consistent direction,Substantial (>50% change)
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,Choking,8.72720721678768,3.1867093150993,1.48125397556269,6.7320109487471,0.00245076813218541,TRUE,0.365146516627833,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Foreign Body Trauma,13.5722101360909,7.23202322178372,4.25347999385625,11.8475680540181,2.7088847133808e-14,TRUE,0.532855235018245,Consistent direction,Substantial (>50% change)
CITRACAL SLOW RELEASE 1200,Choking,9.71587519412326,5.15854079733414,2.67453130670997,10.2025132889254,1.28685425249476e-06,TRUE,0.530939384694272,Consistent direction,Substantial (>50% change)
CENTRUM SILVER,Choking,2.41472562659377,1.23535965299325,0.633685315077846,2.24926144041672,0.509586798468024,FALSE,0.511594211527817,Consistent direction,Substantial (>50% change)
CITRACAL PETITES,Dysphagia,3.2915713313647,2.04839705758534,1.2917575847371,3.12482238286689,0.00139492266384866,TRUE,0.622315864179089,Consistent direction,Substantial (>50% change)
HYDROXYCUT HARDCORE CAPSULES,Pain,9.42137471995109,4.82914171801442,2.77272467574011,7.98882837415386,4.39749729885508e-09,TRUE,0.512572937767567,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,3.49694257963275,5.57695796361242,2.98257383180969,10.1621934307584,3.17570543851198e-08,TRUE,1.59480970493891,Consistent direction,Substantial (>50% change)
CENTRUM SILVER WOMEN'S 50+,Dysphagia,3.4263501334549,1.88322324562002,1.15317346592881,2.94050881971634,0.00772531209917288,TRUE,0.549629539384261,Consistent direction,Substantial (>50% change)
SUPER BETA PROSTATE,Myocardial Infarction,2.41560776698596,1.57488467390138,0.928352277754627,2.51149263517944,0.071957444706289,FALSE,0.651962084004399,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",Dysphagia,13.5170773924332,6.75001845934511,3.57891056864988,12.5433867546182,1.79692435394298e-09,TRUE,0.499369668706916,Consistent direction,Substantial (>50% change)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Liver Injury,18.31136222568,9.15215633103663,5.55961928667771,14.4118371853101,5.57628261776396e-20,TRUE,0.499807508487904,Consistent direction,Substantial (>50% change)
PRESERVISION AREDS 2,Cataract,16.2520310383676,9.24363603125678,5.7779078048501,14.3242061046259,5.29384609171612e-22,TRUE,0.568768051785928,Consistent direction,Substantial (>50% change)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Convulsion,6.52496531061595,3.7981133683538,2.31636720322848,5.91953337832148,2.10688013096651e-08,TRUE,0.582089434586628,Consistent direction,Substantial (>50% change)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Hepatocellular Injury,66.7786121098349,15.9837943648656,8.33815141003849,28.7604898576495,9.85121738672663e-19,TRUE,0.239354994958208,Consistent direction,Substantial (>50% change)
KRATOM,Overdose,21.2026608963197,11.9888795570584,7.57492602549286,18.5152010742063,8.41661269326771e-28,TRUE,0.565442215752241,Consistent direction,Substantial (>50% change)
CITRACAL,Choking,9.44821431392061,3.14389860224086,1.24616012454029,7.72655771431766,0.012574033125832,TRUE,0.332750559818353,Consistent direction,Substantial (>50% change)
ONE A DAY WOMEN'S,Foreign Body,5.80684973563022,5.28282531886615,3.02303192983577,8.77336937225783,7.28265066243364e-10,TRUE,0.909757537973005,Consistent direction,Minimal (<20% change)
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",Dysphagia,4.82251534122606,2.49830490752803,1.58423252260668,3.79979081302076,3.7945094944795e-05,TRUE,0.518050173147375,Consistent direction,Substantial (>50% change)
ALL DAY ENERGY GREENS,Vomiting,2.34026982586128,4.55751570636039,2.20815360134577,8.64897694402191,1.09262605337599e-05,TRUE,1.94743172603317,Consistent direction,Substantial (>50% change)
"CENTRUM ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,46.2132340140916,55.2794984475635,15.5147503241013,267.526423270341,1.51637905751596e-08,TRUE,1.19618329309538,Consistent direction,Minimal (<20% change)
HYDROXYCUT,Fatigue,5.70759581666229,4.11837037081617,2.63709397016531,6.20973345312219,7.79821590940494e-11,TRUE,0.721559567829476,Consistent direction,Moderate (20-50% change)
HYDROXYCUT,Nausea,2.37480022927273,1.54361603448367,0.974845735006401,2.35021109150678,0.0521115702821869,FALSE,0.649998267414854,Consistent direction,Substantial (>50% change)
KRATOM,Pulmonary Oedema,155.239952172613,118.000891353804,58.0173778635115,249.760708683138,7.12914190186569e-38,TRUE,0.760119348803955,Consistent direction,Moderate (20-50% change)
PRESERVISION AREDS 2,Blindness,12.2191493180575,7.74965121768676,4.36287342795539,13.0486890619208,1.65817765325249e-13,TRUE,0.634221828047743,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",Coeliac Disease,16.1661521165228,12.1243054551714,5.31522013340095,24.0692010747744,5.35034302591335e-11,TRUE,0.749980908739539,Consistent direction,Moderate (20-50% change)
HYDROXYCUT HARDCORE CAPSULES,Anxiety,11.7920227920228,5.75690767917347,3.3320953791415,9.49272686550479,4.37301134160199e-11,TRUE,0.48820357462911,Consistent direction,Substantial (>50% change)
KRATOM,Withdrawal Syndrome,30.6066945606695,7.24641735146505,4.30792101686447,11.7358292730974,7.19749532719475e-15,TRUE,0.236759227204394,Consistent direction,Substantial (>50% change)
