stratum,product_clean,meddra_pt,a,expected,prr,ror,eb05,ic,ic025,n_methods,robust_signal,ror_lower
Age 18-39,LACTAID FAST ACT,Diarrhoea,6,1.36414942219833,4.43488649940263,6.39316025067144,0.983383075457028,1.80192221328587,1.03348276915625,3,TRUE,2.46823491547932
Age 18-39,MNS 3,Vomiting,6,1.79279763504434,3.36159300045256,5.23107248176315,0.593012962718103,1.5033306915266,0.734891247396981,3,TRUE,1.87964969743987
Age 18-39,MODERE ACTIVATE,Vomiting,6,2.17696855683956,2.76725262438661,3.86465527130894,0.315066593136079,1.27983952468278,0.511400080553161,3,TRUE,1.47352161079287
Age 18-39,OMEGAPLEX,Diarrhoea,6,2.34936844934157,2.57058619493583,3.12796882405603,0.205855135494678,1.18979753078307,0.421358086653451,3,TRUE,1.31636631590333
Age 18-39,ONE A DAY WOMEN'S,Choking,6,0.298978769148079,21.4467469879518,29.2794411177645,3.11721724769019,3.02421064535922,2.2557712012296,4,TRUE,11.7440615769075
Age 18-39,PLEXUS SLIM,Diarrhoea,6,0.985219027143241,6.14474772539289,10.6630259623993,1.44671120129265,2.12976401534902,1.36132457121941,4,TRUE,3.71693998477482
Age 18-39,SYNC,Nausea,6,1.38941144853534,4.33774319066148,8.99459839032032,0.957202581204367,1.78250281306668,1.01406336893707,3,TRUE,2.69895255794939
Age 18-39,ARBONNE ESSENTIALS BODY CLEANSE,Hypersensitivity,5,0.546627250739049,9.23813074819786,19.0816883923029,1.88723609898717,2.39368389103843,1.55824596877755,4,TRUE,5.46962917715396
Age 18-39,ARBONNE ESSENTIALS CHOCOLATE PROTEIN SHAKE MIX,Hypersensitivity,5,0.425154528352593,11.8807925854906,34.3568715083799,2.23859807983663,2.57166535474074,1.73622743247986,4,TRUE,7.68077868144947
Age 18-39,ARBONNE ESSENTIALS ENERGY FIZZ STICKS - POMEGRANATE,Dyspnoea,5,1.63558183284063,3.07148175725987,4.15232607167955,0.332522197727801,1.3648024373178,0.529364515056918,3,TRUE,1.51861664491847
